['whole.n.02.whole', 'whole.n.02.unit']
['troll.n.04.troll', 'troll.n.04.trolling']
['casting.n.03.casting', 'casting.n.03.cast']
['turn.n.03.turn', 'turn.n.03.play']
['counterattack.n.02.counterattack', 'counterattack.n.02.counterplay']
['computer_game.n.01.computer_game', 'computer_game.n.01.video_game']
['ninepins.n.01.ninepins', 'ninepins.n.01.skittles']
['bocce.n.01.bocce', 'bocce.n.01.bocci']
['ice_hockey.n.01.ice_hockey', 'ice_hockey.n.01.hockey']
['goalkeeper.n.02.goalkeeper', 'goalkeeper.n.02.goalie']
['goalkeeper.n.02.goalkeeper', 'goalkeeper.n.02.goaltender']
['goalkeeper.n.02.goalie', 'goalkeeper.n.02.goaltender']
['quoits.n.01.quoits', 'quoits.n.01.horseshoes']
['rugby.n.01.rugby', 'rugby.n.01.rugger']
['googly.n.01.googly', 'googly.n.01.bosie']
['soccer.n.01.soccer', 'soccer.n.01.association_football']
['dribble.n.03.dribble', 'dribble.n.03.dribbling']
['basketball.n.01.basketball', 'basketball.n.01.hoops']
['jacks.n.01.jacks', 'jacks.n.01.knucklebones']
['cut.n.15.cut', 'cut.n.15.cutting']
['casino.n.02.casino', 'casino.n.02.cassino']
['cribbage.n.01.cribbage', 'cribbage.n.01.crib']
['fantan.n.02.fantan', 'fantan.n.02.sevens']
['fantan.n.02.fantan', 'fantan.n.02.parliament']
['fantan.n.02.sevens', 'fantan.n.02.parliament']
['michigan.n.03.boodle', 'michigan.n.03.stops']
['pinochle.n.01.pinochle', 'pinochle.n.01.bezique']
['rummy.n.02.rummy', 'rummy.n.02.rum']
['solitaire.n.04.solitaire', 'solitaire.n.04.patience']
['canasta.n.01.canasta', 'canasta.n.01.meld']
['dominoes.n.01.dominoes', 'dominoes.n.01.dominos']
['carom.n.02.carom', 'carom.n.02.cannon']
['checkers.n.01.checkers', 'checkers.n.01.draughts']
['lotto.n.01.lotto', 'lotto.n.01.bingo']
['lotto.n.01.lotto', 'lotto.n.01.beano']
['lotto.n.01.lotto', 'lotto.n.01.keno']
['lotto.n.01.bingo', 'lotto.n.01.beano']
['lotto.n.01.bingo', 'lotto.n.01.keno']
['lotto.n.01.beano', 'lotto.n.01.keno']
['bet.n.02.bet', 'bet.n.02.wager']
['exacta.n.01.exacta', 'exacta.n.01.perfecta']
['lottery.n.02.lottery', 'lottery.n.02.drawing']
['merrymaking.n.01.merrymaking', 'merrymaking.n.01.conviviality']
['merrymaking.n.01.merrymaking', 'merrymaking.n.01.jollification']
['merrymaking.n.01.conviviality', 'merrymaking.n.01.jollification']
['jinks.n.01.jinks', 'jinks.n.01.hijinks']
['revel.n.01.revel', 'revel.n.01.revelry']
['spree.n.01.spree', 'spree.n.01.fling']
['bust.n.04.bust', 'bust.n.04.tear']
['bust.n.04.bust', 'bust.n.04.binge']
['bust.n.04.bust', 'bust.n.04.bout']
['bust.n.04.tear', 'bust.n.04.binge']
['bust.n.04.tear', 'bust.n.04.bout']
['bust.n.04.binge', 'bust.n.04.bout']
['carouse.n.01.carouse', 'carouse.n.01.carousal']
['carouse.n.01.carouse', 'carouse.n.01.bender']
['carouse.n.01.carouse', 'carouse.n.01.toot']
['carouse.n.01.carousal', 'carouse.n.01.bender']
['carouse.n.01.carousal', 'carouse.n.01.toot']
['carouse.n.01.bender', 'carouse.n.01.toot']
['orgy.n.03.orgy', 'orgy.n.03.debauch']
['orgy.n.03.orgy', 'orgy.n.03.debauchery']
['orgy.n.03.orgy', 'orgy.n.03.saturnalia']
['orgy.n.03.orgy', 'orgy.n.03.riot']
['orgy.n.03.orgy', 'orgy.n.03.bacchanal']
['orgy.n.03.orgy', 'orgy.n.03.bacchanalia']
['orgy.n.03.debauch', 'orgy.n.03.debauchery']
['orgy.n.03.debauch', 'orgy.n.03.saturnalia']
['orgy.n.03.debauch', 'orgy.n.03.riot']
['orgy.n.03.debauch', 'orgy.n.03.bacchanal']
['orgy.n.03.debauch', 'orgy.n.03.bacchanalia']
['orgy.n.03.debauchery', 'orgy.n.03.saturnalia']
['orgy.n.03.debauchery', 'orgy.n.03.riot']
['orgy.n.03.debauchery', 'orgy.n.03.bacchanal']
['orgy.n.03.debauchery', 'orgy.n.03.bacchanalia']
['orgy.n.03.saturnalia', 'orgy.n.03.riot']
['orgy.n.03.saturnalia', 'orgy.n.03.bacchanal']
['orgy.n.03.saturnalia', 'orgy.n.03.bacchanalia']
['orgy.n.03.riot', 'orgy.n.03.bacchanal']
['orgy.n.03.riot', 'orgy.n.03.bacchanalia']
['orgy.n.03.bacchanal', 'orgy.n.03.bacchanalia']
['play.n.14.play', 'play.n.14.frolic']
['play.n.14.play', 'play.n.14.romp']
['play.n.14.play', 'play.n.14.gambol']
['play.n.14.play', 'play.n.14.caper']
['play.n.14.frolic', 'play.n.14.romp']
['play.n.14.frolic', 'play.n.14.gambol']
['play.n.14.frolic', 'play.n.14.caper']
['play.n.14.romp', 'play.n.14.gambol']
['play.n.14.romp', 'play.n.14.caper']
['play.n.14.gambol', 'play.n.14.caper']
['caper.n.04.caper', 'caper.n.04.capriole']
['flirt.n.02.flirt', 'flirt.n.02.flirting']
['flirt.n.02.flirt', 'flirt.n.02.flirtation']
['flirt.n.02.flirt', 'flirt.n.02.coquetry']
['flirt.n.02.flirt', 'flirt.n.02.dalliance']
['flirt.n.02.flirt', 'flirt.n.02.toying']
['flirt.n.02.flirting', 'flirt.n.02.flirtation']
['flirt.n.02.flirting', 'flirt.n.02.coquetry']
['flirt.n.02.flirting', 'flirt.n.02.dalliance']
['flirt.n.02.flirting', 'flirt.n.02.toying']
['flirt.n.02.flirtation', 'flirt.n.02.coquetry']
['flirt.n.02.flirtation', 'flirt.n.02.dalliance']
['flirt.n.02.flirtation', 'flirt.n.02.toying']
['flirt.n.02.coquetry', 'flirt.n.02.dalliance']
['flirt.n.02.coquetry', 'flirt.n.02.toying']
['flirt.n.02.dalliance', 'flirt.n.02.toying']
['folly.n.04.folly', 'folly.n.04.foolery']
['folly.n.04.folly', 'folly.n.04.tomfoolery']
['folly.n.04.folly', 'folly.n.04.craziness']
['folly.n.04.folly', 'folly.n.04.lunacy']
['folly.n.04.folly', 'folly.n.04.indulgence']
['folly.n.04.foolery', 'folly.n.04.tomfoolery']
['folly.n.04.foolery', 'folly.n.04.craziness']
['folly.n.04.foolery', 'folly.n.04.lunacy']
['folly.n.04.foolery', 'folly.n.04.indulgence']
['folly.n.04.tomfoolery', 'folly.n.04.craziness']
['folly.n.04.tomfoolery', 'folly.n.04.lunacy']
['folly.n.04.tomfoolery', 'folly.n.04.indulgence']
['folly.n.04.craziness', 'folly.n.04.lunacy']
['folly.n.04.craziness', 'folly.n.04.indulgence']
['folly.n.04.lunacy', 'folly.n.04.indulgence']
['buffoonery.n.01.buffoonery', 'buffoonery.n.01.clowning']
['buffoonery.n.01.buffoonery', 'buffoonery.n.01.frivolity']
['buffoonery.n.01.buffoonery', 'buffoonery.n.01.harlequinade']
['buffoonery.n.01.buffoonery', 'buffoonery.n.01.prank']
['buffoonery.n.01.clowning', 'buffoonery.n.01.frivolity']
['buffoonery.n.01.clowning', 'buffoonery.n.01.harlequinade']
['buffoonery.n.01.clowning', 'buffoonery.n.01.prank']
['buffoonery.n.01.frivolity', 'buffoonery.n.01.harlequinade']
['buffoonery.n.01.frivolity', 'buffoonery.n.01.prank']
['buffoonery.n.01.harlequinade', 'buffoonery.n.01.prank']
['shtik.n.03.shtick', 'shtik.n.03.schtick']
['celebration.n.03.celebration', 'celebration.n.03.solemnization']
['celebration.n.03.celebration', 'celebration.n.03.solemnisation']
['celebration.n.03.solemnization', 'celebration.n.03.solemnisation']
['festival.n.02.festival', 'festival.n.02.fete']
['gala.n.01.gala', 'gala.n.01.jamboree']
['gala.n.01.gala', 'gala.n.01.blowout']
['gala.n.01.jamboree', 'gala.n.01.blowout']
['carnival.n.03.carnival', 'carnival.n.03.fair']
['carnival.n.03.carnival', 'carnival.n.03.funfair']
['carnival.n.03.fair', 'carnival.n.03.funfair']
['cabaret.n.02.cabaret', 'cabaret.n.02.floorshow']
['interlude.n.02.interlude', 'interlude.n.02.intermezzo']
['display.n.02.display', 'display.n.02.exhibit']
['display.n.02.display', 'display.n.02.showing']
['display.n.02.exhibit', 'display.n.02.showing']
['presentation.n.02.presentation', 'presentation.n.02.presentment']
['presentation.n.02.presentation', 'presentation.n.02.demonstration']
['presentation.n.02.presentment', 'presentation.n.02.demonstration']
['repudiation.n.03.repudiation', 'repudiation.n.03.debunking']
['sport.n.01.sport', 'sport.n.01.athletics']
['pavane.n.02.pavane', 'pavane.n.02.pavan']
['strip.n.06.strip', 'strip.n.06.striptease']
['tarantella.n.02.tarantella', 'tarantella.n.02.tarantelle']
['chasse.n.01.chasse', 'chasse.n.01.sashay']
['rumba.n.03.rumba', 'rumba.n.03.rhumba']
['waltz.n.03.waltz', 'waltz.n.03.valse']
['country-dance.n.01.contredanse', 'country-dance.n.01.contradance']
['rumba.n.02.rumba', 'rumba.n.02.rhumba']
['singing.n.01.singing', 'singing.n.01.vocalizing']
['song.n.03.song', 'song.n.03.strain']
['lullaby.n.02.lullaby', 'lullaby.n.02.cradlesong']
['acting.n.01.acting', 'acting.n.01.playing']
['acting.n.01.acting', 'acting.n.01.playacting']
['acting.n.01.acting', 'acting.n.01.performing']
['acting.n.01.playing', 'acting.n.01.playacting']
['acting.n.01.playing', 'acting.n.01.performing']
['acting.n.01.playacting', 'acting.n.01.performing']
['portrayal.n.02.portrayal', 'portrayal.n.02.characterization']
['portrayal.n.02.portrayal', 'portrayal.n.02.enactment']
['portrayal.n.02.portrayal', 'portrayal.n.02.personation']
['portrayal.n.02.characterization', 'portrayal.n.02.enactment']
['portrayal.n.02.characterization', 'portrayal.n.02.personation']
['portrayal.n.02.enactment', 'portrayal.n.02.personation']
['impersonation.n.03.impersonation', 'impersonation.n.03.personation']
['parody.n.02.parody', 'parody.n.02.mockery']
['parody.n.02.parody', 'parody.n.02.takeoff']
['parody.n.02.mockery', 'parody.n.02.takeoff']
['mime.n.02.mime', 'mime.n.02.pantomime']
['business.n.09.business', 'business.n.09.byplay']
['shtik.n.02.shtick', 'shtik.n.02.schtick']
['program.n.08.program', 'program.n.08.programme']
['hamming.n.01.hamming', 'hamming.n.01.overacting']
['liveliness.n.01.liveliness', 'liveliness.n.01.animation']
['circus.n.03.circus', 'circus.n.03.carnival']
['disorganization.n.02.disorganization', 'disorganization.n.02.disorganisation']
['disruption.n.04.disruption', 'disruption.n.04.perturbation']
['dislocation.n.02.dislocation', 'dislocation.n.02.breakdown']
['surprise.n.03.surprise', 'surprise.n.03.surprisal']
['commotion.n.02.commotion', 'commotion.n.02.din']
['commotion.n.02.commotion', 'commotion.n.02.ruckus']
['commotion.n.02.commotion', 'commotion.n.02.rumpus']
['commotion.n.02.commotion', 'commotion.n.02.tumult']
['commotion.n.02.din', 'commotion.n.02.ruckus']
['commotion.n.02.din', 'commotion.n.02.rumpus']
['commotion.n.02.din', 'commotion.n.02.tumult']
['commotion.n.02.ruckus', 'commotion.n.02.rumpus']
['commotion.n.02.ruckus', 'commotion.n.02.tumult']
['commotion.n.02.rumpus', 'commotion.n.02.tumult']
['furor.n.02.furor', 'furor.n.02.furore']
['havoc.n.01.havoc', 'havoc.n.01.mayhem']
['melee.n.01.melee', 'melee.n.01.scrimmage']
['agitation.n.04.agitation', 'agitation.n.04.excitement']
['agitation.n.04.agitation', 'agitation.n.04.turmoil']
['agitation.n.04.agitation', 'agitation.n.04.upheaval']
['agitation.n.04.agitation', 'agitation.n.04.hullabaloo']
['agitation.n.04.excitement', 'agitation.n.04.turmoil']
['agitation.n.04.excitement', 'agitation.n.04.upheaval']
['agitation.n.04.excitement', 'agitation.n.04.hullabaloo']
['agitation.n.04.turmoil', 'agitation.n.04.upheaval']
['agitation.n.04.turmoil', 'agitation.n.04.hullabaloo']
['agitation.n.04.upheaval', 'agitation.n.04.hullabaloo']
['upset.n.02.upset', 'upset.n.02.derangement']
['upset.n.02.upset', 'upset.n.02.overthrow']
['upset.n.02.derangement', 'upset.n.02.overthrow']
['bustle.n.01.bustle', 'bustle.n.01.hustle']
['bustle.n.01.bustle', 'bustle.n.01.flurry']
['bustle.n.01.bustle', 'bustle.n.01.ado']
['bustle.n.01.bustle', 'bustle.n.01.fuss']
['bustle.n.01.bustle', 'bustle.n.01.stir']
['bustle.n.01.hustle', 'bustle.n.01.flurry']
['bustle.n.01.hustle', 'bustle.n.01.ado']
['bustle.n.01.hustle', 'bustle.n.01.fuss']
['bustle.n.01.hustle', 'bustle.n.01.stir']
['bustle.n.01.flurry', 'bustle.n.01.ado']
['bustle.n.01.flurry', 'bustle.n.01.fuss']
['bustle.n.01.flurry', 'bustle.n.01.stir']
['bustle.n.01.ado', 'bustle.n.01.fuss']
['bustle.n.01.ado', 'bustle.n.01.stir']
['bustle.n.01.fuss', 'bustle.n.01.stir']
['burst.n.03.burst', 'burst.n.03.fit']
['haste.n.02.haste', 'haste.n.02.hurry']
['haste.n.02.haste', 'haste.n.02.rush']
['haste.n.02.haste', 'haste.n.02.rushing']
['haste.n.02.hurry', 'haste.n.02.rush']
['haste.n.02.hurry', 'haste.n.02.rushing']
['haste.n.02.rush', 'haste.n.02.rushing']
['dash.n.06.dash', 'dash.n.06.bolt']
['scamper.n.01.scamper', 'scamper.n.01.scramble']
['scamper.n.01.scamper', 'scamper.n.01.scurry']
['scamper.n.01.scramble', 'scamper.n.01.scurry']
['maneuver.n.03.maneuver', 'maneuver.n.03.manoeuvre']
['maneuver.n.03.maneuver', 'maneuver.n.03.play']
['maneuver.n.03.manoeuvre', 'maneuver.n.03.play']
['run.n.05.run', 'run.n.05.running']
['rush.n.07.rush', 'rush.n.07.rushing']
['pass.n.03.pass', 'pass.n.03.passing']
['blocking.n.01.blocking', 'blocking.n.01.block']
['razzle-dazzle.n.01.razzle', 'razzle-dazzle.n.01.razzmatazz']
['stroke.n.01.stroke', 'stroke.n.01.shot']
['cut.n.14.cut', 'cut.n.14.undercut']
['serve.n.01.serve', 'serve.n.01.service']
['overhead.n.06.overhead', 'overhead.n.06.smash']
['baseball_swing.n.01.swing', 'baseball_swing.n.01.cut']
['slice.n.04.slice', 'slice.n.04.fade']
['slice.n.04.slice', 'slice.n.04.slicing']
['slice.n.04.fade', 'slice.n.04.slicing']
['hook.n.06.hook', 'hook.n.06.draw']
['hook.n.06.hook', 'hook.n.06.hooking']
['hook.n.06.draw', 'hook.n.06.hooking']
['drive.n.06.drive', 'drive.n.06.driving']
['putt.n.01.putt', 'putt.n.01.putting']
['cinch.n.01.cinch', 'cinch.n.01.breeze']
['cinch.n.01.cinch', 'cinch.n.01.picnic']
['cinch.n.01.cinch', 'cinch.n.01.snap']
['cinch.n.01.cinch', 'cinch.n.01.pushover']
['cinch.n.01.cinch', 'cinch.n.01.walkover']
['cinch.n.01.breeze', 'cinch.n.01.picnic']
['cinch.n.01.breeze', 'cinch.n.01.snap']
['cinch.n.01.breeze', 'cinch.n.01.pushover']
['cinch.n.01.breeze', 'cinch.n.01.walkover']
['cinch.n.01.picnic', 'cinch.n.01.snap']
['cinch.n.01.picnic', 'cinch.n.01.pushover']
['cinch.n.01.picnic', 'cinch.n.01.walkover']
['cinch.n.01.snap', 'cinch.n.01.pushover']
['cinch.n.01.snap', 'cinch.n.01.walkover']
['cinch.n.01.pushover', 'cinch.n.01.walkover']
['operation.n.07.operation', 'operation.n.07.procedure']
['works.n.03.works', 'works.n.03.deeds']
['shining.n.01.shining', 'shining.n.01.polishing']
['housework.n.01.housework', 'housework.n.01.housekeeping']
['occupation.n.01.occupation', 'occupation.n.01.business']
['occupation.n.01.occupation', 'occupation.n.01.job']
['occupation.n.01.occupation', 'occupation.n.01.line']
['occupation.n.01.business', 'occupation.n.01.job']
['occupation.n.01.business', 'occupation.n.01.line']
['occupation.n.01.job', 'occupation.n.01.line']
['game.n.10.game', 'game.n.10.biz']
['career.n.01.career', 'career.n.01.calling']
['career.n.01.career', 'career.n.01.vocation']
['career.n.01.calling', 'career.n.01.vocation']
['specialization.n.02.specialization', 'specialization.n.02.specialisation']
['specialization.n.02.specialization', 'specialization.n.02.specialty']
['specialization.n.02.specialization', 'specialization.n.02.speciality']
['specialization.n.02.specialization', 'specialization.n.02.specialism']
['specialization.n.02.specialisation', 'specialization.n.02.specialty']
['specialization.n.02.specialisation', 'specialization.n.02.speciality']
['specialization.n.02.specialisation', 'specialization.n.02.specialism']
['specialization.n.02.specialty', 'specialization.n.02.speciality']
['specialization.n.02.specialty', 'specialization.n.02.specialism']
['specialization.n.02.speciality', 'specialization.n.02.specialism']
['specialization.n.01.specialization', 'specialization.n.01.specialisation']
['employment.n.02.employment', 'employment.n.02.work']
['telecommuting.n.01.telecommuting', 'telecommuting.n.01.teleworking']
['position.n.06.position', 'position.n.06.post']
['position.n.06.position', 'position.n.06.berth']
['position.n.06.position', 'position.n.06.office']
['position.n.06.position', 'position.n.06.spot']
['position.n.06.position', 'position.n.06.billet']
['position.n.06.position', 'position.n.06.place']
['position.n.06.position', 'position.n.06.situation']
['position.n.06.post', 'position.n.06.berth']
['position.n.06.post', 'position.n.06.office']
['position.n.06.post', 'position.n.06.spot']
['position.n.06.post', 'position.n.06.billet']
['position.n.06.post', 'position.n.06.place']
['position.n.06.post', 'position.n.06.situation']
['position.n.06.berth', 'position.n.06.office']
['position.n.06.berth', 'position.n.06.spot']
['position.n.06.berth', 'position.n.06.billet']
['position.n.06.berth', 'position.n.06.place']
['position.n.06.berth', 'position.n.06.situation']
['position.n.06.office', 'position.n.06.spot']
['position.n.06.office', 'position.n.06.billet']
['position.n.06.office', 'position.n.06.place']
['position.n.06.office', 'position.n.06.situation']
['position.n.06.spot', 'position.n.06.billet']
['position.n.06.spot', 'position.n.06.place']
['position.n.06.spot', 'position.n.06.situation']
['position.n.06.billet', 'position.n.06.place']
['position.n.06.billet', 'position.n.06.situation']
['position.n.06.place', 'position.n.06.situation']
['bishopry.n.01.bishopry', 'bishopry.n.01.episcopate']
['captainship.n.01.captainship', 'captainship.n.01.captaincy']
['chieftaincy.n.01.chieftaincy', 'chieftaincy.n.01.chieftainship']
['commandership.n.01.commandership', 'commandership.n.01.commandery']
['deanship.n.01.deanship', 'deanship.n.01.deanery']
['generalship.n.02.generalship', 'generalship.n.02.generalcy']
['judgeship.n.01.judgeship', 'judgeship.n.01.judicature']
['legation.n.01.legation', 'legation.n.01.legateship']
['magistracy.n.01.magistracy', 'magistracy.n.01.magistrature']
['pastorship.n.01.pastorship', 'pastorship.n.01.pastorate']
['prelacy.n.02.prelacy', 'prelacy.n.02.prelature']
['presidency.n.02.presidency', 'presidency.n.02.presidentship']
['professorship.n.01.professorship', 'professorship.n.01.chair']
['rectorship.n.01.rectorship', 'rectorship.n.01.rectorate']
['seigniory.n.02.seigniory', 'seigniory.n.02.seigneury']
['trade.n.02.trade', 'trade.n.02.craft']
['carpentry.n.01.carpentry', 'carpentry.n.01.woodworking']
['carpentry.n.01.carpentry', 'carpentry.n.01.woodwork']
['carpentry.n.01.woodworking', 'carpentry.n.01.woodwork']
['piloting.n.02.piloting', 'piloting.n.02.pilotage']
['metier.n.02.metier', 'metier.n.02.medium']
['cryptography.n.02.cryptography', 'cryptography.n.02.coding']
['cryptography.n.02.cryptography', 'cryptography.n.02.steganography']
['cryptography.n.02.coding', 'cryptography.n.02.steganography']
['encoding.n.01.encoding', 'encoding.n.01.encryption']
['decoding.n.01.decoding', 'decoding.n.01.decryption']
['decoding.n.01.decoding', 'decoding.n.01.decipherment']
['decoding.n.01.decryption', 'decoding.n.01.decipherment']
['cabinetmaking.n.01.cabinetmaking', 'cabinetmaking.n.01.joinery']
['shoemaking.n.01.shoemaking', 'shoemaking.n.01.cobbling']
['accountancy.n.01.accountancy', 'accountancy.n.01.accounting']
['bookkeeping.n.01.bookkeeping', 'bookkeeping.n.01.clerking']
['butchery.n.02.butchery', 'butchery.n.02.butchering']
['labor.n.02.labor', 'labor.n.02.labour']
['labor.n.02.labor', 'labor.n.02.toil']
['labor.n.02.labour', 'labor.n.02.toil']
['drudgery.n.01.drudgery', 'drudgery.n.01.plodding']
['drudgery.n.01.drudgery', 'drudgery.n.01.grind']
['drudgery.n.01.plodding', 'drudgery.n.01.grind']
['effort.n.02.effort', 'effort.n.02.exertion']
['effort.n.02.effort', 'effort.n.02.travail']
['effort.n.02.effort', 'effort.n.02.sweat']
['effort.n.02.exertion', 'effort.n.02.travail']
['effort.n.02.exertion', 'effort.n.02.sweat']
['effort.n.02.travail', 'effort.n.02.sweat']
['wrestle.n.01.wrestle', 'wrestle.n.01.wrestling']
['wrestle.n.01.wrestle', 'wrestle.n.01.grapple']
['wrestle.n.01.wrestle', 'wrestle.n.01.grappling']
['wrestle.n.01.wrestling', 'wrestle.n.01.grapple']
['wrestle.n.01.wrestling', 'wrestle.n.01.grappling']
['wrestle.n.01.grapple', 'wrestle.n.01.grappling']
['hunt.n.07.hunt', 'hunt.n.07.hunting']
['overwork.n.01.overwork', 'overwork.n.01.overworking']
['subbing.n.01.subbing', 'subbing.n.01.substituting']
['trouble.n.04.trouble', 'trouble.n.04.difficulty']
['strain.n.10.strain', 'strain.n.10.straining']
['exercise.n.01.exercise', 'exercise.n.01.exercising']
['exercise.n.01.exercise', 'exercise.n.01.workout']
['exercise.n.01.exercising', 'exercise.n.01.workout']
['stretch.n.04.stretch', 'stretch.n.04.stretching']
['knee_bend.n.01.squat', 'knee_bend.n.01.squatting']
['quackery.n.01.quackery', 'quackery.n.01.empiricism']
['application.n.06.application', 'application.n.06.diligence']
['investigation.n.02.investigation', 'investigation.n.02.investigating']
['count.n.02.count', 'count.n.02.counting']
['count.n.02.count', 'count.n.02.numeration']
['count.n.02.count', 'count.n.02.enumeration']
['count.n.02.count', 'count.n.02.reckoning']
['count.n.02.count', 'count.n.02.tally']
['count.n.02.counting', 'count.n.02.numeration']
['count.n.02.counting', 'count.n.02.enumeration']
['count.n.02.counting', 'count.n.02.reckoning']
['count.n.02.counting', 'count.n.02.tally']
['count.n.02.numeration', 'count.n.02.enumeration']
['count.n.02.numeration', 'count.n.02.reckoning']
['count.n.02.numeration', 'count.n.02.tally']
['count.n.02.enumeration', 'count.n.02.reckoning']
['count.n.02.enumeration', 'count.n.02.tally']
['count.n.02.reckoning', 'count.n.02.tally']
['detection.n.04.detection', 'detection.n.04.detecting']
['detection.n.04.detection', 'detection.n.04.sleuthing']
['detection.n.04.detecting', 'detection.n.04.sleuthing']
['examination.n.01.examination', 'examination.n.01.scrutiny']
['examination.n.05.examination', 'examination.n.05.testing']
['inquiry.n.03.inquiry', 'inquiry.n.03.enquiry']
['experiment.n.01.experiment', 'experiment.n.01.experimentation']
['survey.n.01.survey', 'survey.n.01.study']
['spectroscopy.n.01.spectroscopy', 'spectroscopy.n.01.spectrometry']
['hemodialysis.n.01.hemodialysis', 'hemodialysis.n.01.haemodialysis']
['wiretap.n.01.wiretap', 'wiretap.n.01.tap']
['care.n.01.care', 'care.n.01.attention']
['care.n.01.care', 'care.n.01.aid']
['care.n.01.care', 'care.n.01.tending']
['care.n.01.attention', 'care.n.01.aid']
['care.n.01.attention', 'care.n.01.tending']
['care.n.01.aid', 'care.n.01.tending']
['brush.n.07.brush', 'brush.n.07.brushing']
['treatment.n.01.treatment', 'treatment.n.01.intervention']
['hospitalization.n.04.hospitalization', 'hospitalization.n.04.hospitalisation']
['electrotherapy.n.01.electrotherapy', 'electrotherapy.n.01.galvanism']
['heliotherapy.n.01.heliotherapy', 'heliotherapy.n.01.insolation']
['appendectomy.n.01.appendectomy', 'appendectomy.n.01.appendicectomy']
['cautery.n.02.cautery', 'cautery.n.02.cauterization']
['disembowelment.n.01.disembowelment', 'disembowelment.n.01.evisceration']
['operation.n.06.operation', 'operation.n.06.surgery']
['face_lift.n.01.facelift', 'face_lift.n.01.lift']
['face_lift.n.01.facelift', 'face_lift.n.01.rhytidectomy']
['face_lift.n.01.lift', 'face_lift.n.01.rhytidectomy']
['hemostasis.n.01.hemostasis', 'hemostasis.n.01.haemostasis']
['incision.n.02.incision', 'incision.n.02.section']
['lobotomy.n.01.lobotomy', 'lobotomy.n.01.leucotomy']
['oophorectomy.n.01.oophorectomy', 'oophorectomy.n.01.ovariectomy']
['orchidectomy.n.01.orchidectomy', 'orchidectomy.n.01.orchiectomy']
['sterilization.n.01.sterilization', 'sterilization.n.01.sterilisation']
['castration.n.01.castration', 'castration.n.01.emasculation']
['neutering.n.01.neutering', 'neutering.n.01.fixing']
['neutering.n.01.neutering', 'neutering.n.01.altering']
['neutering.n.01.fixing', 'neutering.n.01.altering']
['tracheostomy.n.01.tracheostomy', 'tracheostomy.n.01.tracheotomy']
['transplant.n.02.transplant', 'transplant.n.02.transplantation']
['administration.n.06.administration', 'administration.n.06.judicature']
['sedation.n.02.sedation', 'sedation.n.02.drugging']
['enema.n.01.enema', 'enema.n.01.clyster']
['dressing.n.07.dressing', 'dressing.n.07.bandaging']
['dressing.n.07.dressing', 'dressing.n.07.binding']
['dressing.n.07.bandaging', 'dressing.n.07.binding']
['injection.n.03.injection', 'injection.n.03.shot']
['venesection.n.01.venesection', 'venesection.n.01.phlebotomy']
['psychoanalysis.n.01.psychoanalysis', 'psychoanalysis.n.01.analysis']
['radiotherapy.n.01.radiotherapy', 'radiotherapy.n.01.radiation']
['radiotherapy.n.01.radiotherapy', 'radiotherapy.n.01.irradiation']
['radiotherapy.n.01.radiation', 'radiotherapy.n.01.irradiation']
['digitalization.n.01.digitalization', 'digitalization.n.01.digitalisation']
['acupressure.n.01.acupressure', 'acupressure.n.01.shiatsu']
['homeopathy.n.01.homeopathy', 'homeopathy.n.01.homoeopathy']
['hydropathy.n.01.hydropathy', 'hydropathy.n.01.hydrotherapy']
['stalk.n.03.stalk', 'stalk.n.03.stalking']
['friction.n.03.friction', 'friction.n.03.rubbing']
['application.n.03.application', 'application.n.03.coating']
['application.n.03.application', 'application.n.03.covering']
['application.n.03.coating', 'application.n.03.covering']
['anointing.n.01.anointing', 'anointing.n.01.anointment']
['galvanization.n.03.galvanization', 'galvanization.n.03.galvanisation']
['pickings.n.01.pickings', 'pickings.n.01.taking']
['sewing.n.01.sewing', 'sewing.n.01.stitching']
['paving.n.03.paving', 'paving.n.03.pavage']
['spatter.n.02.spatter', 'spatter.n.02.spattering']
['spatter.n.02.spatter', 'spatter.n.02.splash']
['spatter.n.02.spatter', 'spatter.n.02.splashing']
['spatter.n.02.spatter', 'spatter.n.02.splattering']
['spatter.n.02.spattering', 'spatter.n.02.splash']
['spatter.n.02.spattering', 'spatter.n.02.splashing']
['spatter.n.02.spattering', 'spatter.n.02.splattering']
['spatter.n.02.splash', 'spatter.n.02.splashing']
['spatter.n.02.splash', 'spatter.n.02.splattering']
['spatter.n.02.splashing', 'spatter.n.02.splattering']
['plastering.n.01.plastering', 'plastering.n.01.daubing']
['job.n.02.job', 'job.n.02.task']
['job.n.02.job', 'job.n.02.chore']
['job.n.02.task', 'job.n.02.chore']
['function.n.03.function', 'function.n.03.office']
['function.n.03.function', 'function.n.03.part']
['function.n.03.function', 'function.n.03.role']
['function.n.03.office', 'function.n.03.part']
['function.n.03.office', 'function.n.03.role']
['function.n.03.part', 'function.n.03.role']
['stead.n.01.stead', 'stead.n.01.position']
['stead.n.01.stead', 'stead.n.01.place']
['stead.n.01.stead', 'stead.n.01.lieu']
['stead.n.01.position', 'stead.n.01.place']
['stead.n.01.position', 'stead.n.01.lieu']
['stead.n.01.place', 'stead.n.01.lieu']
['pitcher.n.05.pitcher', 'pitcher.n.05.mound']
['shortstop.n.02.shortstop', 'shortstop.n.02.short']
['homework.n.01.homework', 'homework.n.01.prep']
['homework.n.01.homework', 'homework.n.01.preparation']
