('abience.n.01.abience', 'adience.n.01.adience')
('irregularity.n.02.unregularity', 'regularity.n.02.regularity')
('irrelevance.n.01.irrelevance', 'relevance.n.01.relevance')
('irrelevance.n.01.irrelevance', 'relevance.n.01.relevancy')
('irrelevance.n.01.irrelevancy', 'relevance.n.01.relevance')
('irrelevance.n.01.irrelevancy', 'relevance.n.01.relevancy')
('irresoluteness.n.01.irresoluteness', 'resoluteness.n.01.resoluteness')
('irresoluteness.n.01.irresoluteness', 'resoluteness.n.01.firmness')
('irresoluteness.n.01.irresoluteness', 'resoluteness.n.01.firmness_of_purpose')
('irresoluteness.n.01.irresoluteness', 'resoluteness.n.01.resolve')
('irresoluteness.n.01.irresoluteness', 'resoluteness.n.01.resolution')
('irresoluteness.n.01.irresolution', 'resoluteness.n.01.resoluteness')
('irresoluteness.n.01.irresolution', 'resoluteness.n.01.firmness')
('irresoluteness.n.01.irresolution', 'resoluteness.n.01.firmness_of_purpose')
('irresoluteness.n.01.irresolution', 'resoluteness.n.01.resolve')
('irresoluteness.n.01.irresolution', 'resoluteness.n.01.resolution')
('irresponsibility.n.01.irresponsibility', 'responsibility.n.03.responsibility')
('irresponsibility.n.01.irresponsibility', 'responsibility.n.03.responsibleness')
('irresponsibility.n.01.irresponsibleness', 'responsibility.n.03.responsibility')
('irresponsibility.n.01.irresponsibleness', 'responsibility.n.03.responsibleness')
('irreverence.n.01.irreverence', 'reverence.n.02.reverence')
('irreversibility.n.01.irreversibility', 'reversibility.n.01.reversibility')
('irreversible_process.n.01.irreversible_process', 'reversible_process.n.01.reversible_process')
('joy.n.01.joy', 'sorrow.n.01.sorrow')
('joy.n.01.joyousness', 'sorrow.n.01.sorrow')
('joy.n.01.joyfulness', 'sorrow.n.01.sorrow')
('judgment_in_personam.n.01.judgment_in_personam', 'judgment_in_rem.n.01.judgment_in_rem')
('judgment_in_personam.n.01.judgment_in_personam', 'judgment_in_rem.n.01.judgement_in_rem')
('judgment_in_personam.n.01.judgement_in_personam', 'judgment_in_rem.n.01.judgment_in_rem')
('judgment_in_personam.n.01.judgement_in_personam', 'judgment_in_rem.n.01.judgement_in_rem')
('judgment_in_personam.n.01.personal_judgment', 'judgment_in_rem.n.01.judgment_in_rem')
('judgment_in_personam.n.01.personal_judgment', 'judgment_in_rem.n.01.judgement_in_rem')
('judgment_in_personam.n.01.personal_judgement', 'judgment_in_rem.n.01.judgment_in_rem')
('judgment_in_personam.n.01.personal_judgement', 'judgment_in_rem.n.01.judgement_in_rem')
('kinanesthesia.n.01.kinanesthesia', 'kinesthesis.n.01.kinesthesis')
('kinanesthesia.n.01.kinanesthesia', 'kinesthesis.n.01.kinaesthesis')
('kinanesthesia.n.01.kinanesthesia', 'kinesthesis.n.01.kinesthesia')
('kinanesthesia.n.01.kinanesthesia', 'kinesthesis.n.01.kinaesthesia')
('kinanesthesia.n.01.kinanesthesia', 'kinesthesis.n.01.kinesthetics')
('kinanesthesia.n.01.kinanesthesia', 'kinesthesis.n.01.muscle_sense')
('kinanesthesia.n.01.kinanesthesia', 'kinesthesis.n.01.sense_of_movement')
('kindness.n.01.kindness', 'unkindness.n.01.unkindness')
('king.n.01.king', 'queen.n.02.queen')
('king.n.01.king', 'queen.n.02.queen_regnant')
('king.n.01.king', 'queen.n.02.female_monarch')
('king.n.01.male_monarch', 'queen.n.02.queen')
('king.n.01.male_monarch', 'queen.n.02.queen_regnant')
('king.n.01.male_monarch', 'queen.n.02.female_monarch')
('king.n.01.Rex', 'queen.n.02.queen')
('king.n.01.Rex', 'queen.n.02.queen_regnant')
('king.n.01.Rex', 'queen.n.02.female_monarch')
('lady.n.03.Lady', 'lord.n.03.Lord')
('lady.n.03.Lady', 'lord.n.03.noble')
('lady.n.03.Lady', 'lord.n.03.nobleman')
('lady.n.03.noblewoman', 'lord.n.03.Lord')
('lady.n.03.noblewoman', 'lord.n.03.noble')
('lady.n.03.noblewoman', 'lord.n.03.nobleman')
('lady.n.03.peeress', 'lord.n.03.Lord')
('lady.n.03.peeress', 'lord.n.03.noble')
('lady.n.03.peeress', 'lord.n.03.nobleman')
('larboard.n.01.larboard', 'starboard.n.01.starboard')
('larboard.n.01.port', 'starboard.n.01.starboard')
('largeness.n.03.largeness', 'smallness.n.01.smallness')
('largeness.n.03.largeness', 'smallness.n.01.littleness')
('largeness.n.03.bigness', 'smallness.n.01.smallness')
('largeness.n.03.bigness', 'smallness.n.01.littleness')
('lawfulness.n.01.lawfulness', 'unlawfulness.n.01.unlawfulness')
('leaded_gasoline.n.01.leaded_gasoline', 'unleaded_gasoline.n.01.unleaded_gasoline')
('leaded_gasoline.n.01.leaded_gasoline', 'unleaded_gasoline.n.01.unleaded_petrol')
('leaded_gasoline.n.01.leaded_petrol', 'unleaded_gasoline.n.01.unleaded_gasoline')
('leaded_gasoline.n.01.leaded_petrol', 'unleaded_gasoline.n.01.unleaded_petrol')
('lee.n.08.lee', 'windward.n.02.windward')
('lee.n.08.lee_side', 'windward.n.02.windward')
('lee.n.08.leeward', 'windward.n.02.windward')
('leeward.n.01.leeward', 'windward.n.01.windward')
('left.n.01.left', 'right.n.02.right')
('liar.n.01.liar', 'square_shooter.n.01.square_shooter')
('liar.n.01.liar', 'square_shooter.n.01.straight_shooter')
('liar.n.01.liar', 'square_shooter.n.01.straight_arrow')
('liar.n.01.prevaricator', 'square_shooter.n.01.square_shooter')
('liar.n.01.prevaricator', 'square_shooter.n.01.straight_shooter')
('liar.n.01.prevaricator', 'square_shooter.n.01.straight_arrow')
('libertarian.n.02.libertarian', 'necessitarian.n.01.necessitarian')
('likelihood.n.01.likelihood', 'unlikelihood.n.01.unlikelihood')
('likelihood.n.01.likelihood', 'unlikelihood.n.01.unlikeliness')
('likelihood.n.01.likeliness', 'unlikelihood.n.01.unlikelihood')
('likelihood.n.01.likeliness', 'unlikelihood.n.01.unlikeliness')
('likeness.n.01.likeness', 'unlikeness.n.01.unlikeness')
('likeness.n.01.likeness', 'unlikeness.n.01.dissimilitude')
('likeness.n.01.alikeness', 'unlikeness.n.01.unlikeness')
('likeness.n.01.alikeness', 'unlikeness.n.01.dissimilitude')
('likeness.n.01.similitude', 'unlikeness.n.01.unlikeness')
('likeness.n.01.similitude', 'unlikeness.n.01.dissimilitude')
('listed_security.n.01.listed_security', 'unlisted_security.n.01.unlisted_security')
('listed_security.n.01.listed_security', 'unlisted_security.n.01.over_the_counter_security')
('listed_security.n.01.listed_security', 'unlisted_security.n.01.OTC_security')
('live_birth.n.01.live_birth', 'spontaneous_abortion.n.01.spontaneous_abortion')
('live_birth.n.01.live_birth', 'spontaneous_abortion.n.01.miscarriage')
('live_birth.n.01.live_birth', 'spontaneous_abortion.n.01.stillbirth')
('liveborn_infant.n.01.liveborn_infant', 'stillborn_infant.n.01.stillborn_infant')
('loading.n.05.loading', 'unloading.n.01.unloading')
('location.n.04.location', 'studio.n.03.studio')
('longness.n.01.longness', 'shortness.n.01.shortness')
('longness.n.02.longness', 'shortness.n.04.shortness')
('looseness.n.05.looseness', 'tightness.n.05.tightness')
('looseness.n.05.looseness', 'tightness.n.05.tautness')
('looseness.n.05.play', 'tightness.n.05.tightness')
('looseness.n.05.play', 'tightness.n.05.tautness')
('loosening.n.02.loosening', 'tightening.n.01.tightening')
('loosening.n.02.laxation', 'tightening.n.01.tightening')
('loser.n.01.loser', 'winner.n.01.winner')
('loser.n.01.loser', 'winner.n.01.victor')
('loser.n.01.also-ran', 'winner.n.01.winner')
('loser.n.01.also-ran', 'winner.n.01.victor')
('loser.n.03.loser', 'winner.n.02.winner')
('losings.n.01.losings', 'winnings.n.01.winnings')
('losings.n.01.losings', 'winnings.n.01.win')
('losings.n.01.losings', 'winnings.n.01.profits')
('losings.n.01.losses', 'winnings.n.01.winnings')
('losings.n.01.losses', 'winnings.n.01.win')
('losings.n.01.losses', 'winnings.n.01.profits')
('lumper.n.02.lumper', 'splitter.n.02.splitter')
('lumper.n.02.lumper', 'splitter.n.02.divider')
('major_surgery.n.01.major_surgery', 'minor_surgery.n.01.minor_surgery')
('majority.n.01.majority', 'minority.n.02.minority')
('majority.n.01.bulk', 'minority.n.02.minority')
('majority.n.03.majority', 'minority.n.03.minority')
('majority.n.03.majority', 'minority.n.03.nonage')
('majority.n.03.legal_age', 'minority.n.03.minority')
('majority.n.03.legal_age', 'minority.n.03.nonage')
('malleability.n.01.malleability', 'unmalleability.n.01.unmalleability')
('malleability.n.01.plasticity', 'unmalleability.n.01.unmalleability')
('man.n.01.man', 'woman.n.01.woman')
('man.n.01.man', 'woman.n.01.adult_female')
('man.n.01.adult_male', 'woman.n.01.woman')
('man.n.01.adult_male', 'woman.n.01.adult_female')
('man.n.08.man', 'woman.n.02.woman')
('market_economy.n.01.market_economy', 'non-market_economy.n.01.non-market_economy')
('market_economy.n.01.free_enterprise', 'non-market_economy.n.01.non-market_economy')
('market_economy.n.01.private_enterprise', 'non-market_economy.n.01.non-market_economy')
('market_economy.n.01.laissez-faire_economy', 'non-market_economy.n.01.non-market_economy')
('masochist.n.01.masochist', 'sadist.n.01.sadist')
('maximization.n.02.maximization', 'minimization.n.01.minimization')
('maximization.n.02.maximization', 'minimization.n.01.minimisation')
('maximization.n.02.maximisation', 'minimization.n.01.minimization')
('maximization.n.02.maximisation', 'minimization.n.01.minimisation')
('maximization.n.02.maximation', 'minimization.n.01.minimization')
('maximization.n.02.maximation', 'minimization.n.01.minimisation')
('maximum.n.01.maximum', 'minimum.n.01.minimum')
('maximum.n.01.maximum', 'minimum.n.01.lower_limit')
('maximum.n.01.upper_limit', 'minimum.n.01.minimum')
('maximum.n.01.upper_limit', 'minimum.n.01.lower_limit')
('maximum.n.03.maximum', 'minimum.n.02.minimum')
('meaningfulness.n.01.meaningfulness', 'meaninglessness.n.02.meaninglessness')
('member.n.01.member', 'nonmember.n.01.nonmember')
('member.n.01.fellow_member', 'nonmember.n.01.nonmember')
('mendacity.n.01.mendacity', 'veracity.n.01.veracity')
('mental_health.n.01.mental_health', 'mental_illness.n.01.mental_illness')
('mental_health.n.01.mental_health', 'mental_illness.n.01.mental_disease')
('mental_health.n.01.mental_health', 'mental_illness.n.01.psychopathy')
('mercifulness.n.02.mercifulness', 'mercilessness.n.02.mercilessness')
('mercifulness.n.02.mercifulness', 'mercilessness.n.02.unmercifulness')
('mercifulness.n.02.mercy', 'mercilessness.n.02.mercilessness')
('mercifulness.n.02.mercy', 'mercilessness.n.02.unmercifulness')
('merit_system.n.01.merit_system', 'spoils_system.n.01.spoils_system')
('mindfulness.n.01.mindfulness', 'unmindfulness.n.01.unmindfulness')
('mindfulness.n.01.mindfulness', 'unmindfulness.n.01.heedlessness')
('mindfulness.n.01.mindfulness', 'unmindfulness.n.01.inadvertence')
('mindfulness.n.01.mindfulness', 'unmindfulness.n.01.inadvertency')
('mindfulness.n.01.heedfulness', 'unmindfulness.n.01.unmindfulness')
('mindfulness.n.01.heedfulness', 'unmindfulness.n.01.heedlessness')
('mindfulness.n.01.heedfulness', 'unmindfulness.n.01.inadvertence')
('mindfulness.n.01.heedfulness', 'unmindfulness.n.01.inadvertency')
('misogyny.n.01.misogyny', 'philogyny.n.01.philogyny')
('misogyny.n.01.misogynism', 'philogyny.n.01.philogyny')
('mobile.n.03.mobile', 'stabile.n.01.stabile')
('modern.n.02.modern', 'old_style.n.01.old_style')
('modern.n.02.modern', 'old_style.n.01.old_style_font')
('modern.n.02.modern_font', 'old_style.n.01.old_style')
('modern.n.02.modern_font', 'old_style.n.01.old_style_font')
('modern.n.02.Bodoni', 'old_style.n.01.old_style')
('modern.n.02.Bodoni', 'old_style.n.01.old_style_font')
('modern.n.02.Bodoni_font', 'old_style.n.01.old_style')
('modern.n.02.Bodoni_font', 'old_style.n.01.old_style_font')
('monism.n.01.monism', 'pluralism.n.02.pluralism')
('monophony.n.01.monophony', 'polyphony.n.01.polyphony')
('monophony.n.01.monophony', 'polyphony.n.01.polyphonic_music')
('monophony.n.01.monophony', 'polyphony.n.01.concerted_music')
('monophony.n.01.monophonic_music', 'polyphony.n.01.polyphony')
('monophony.n.01.monophonic_music', 'polyphony.n.01.polyphonic_music')
('monophony.n.01.monophonic_music', 'polyphony.n.01.concerted_music')
('monophony.n.01.monody', 'polyphony.n.01.polyphony')
('monophony.n.01.monody', 'polyphony.n.01.polyphonic_music')
('monophony.n.01.monody', 'polyphony.n.01.concerted_music')
('monosemy.n.01.monosemy', 'polysemy.n.01.polysemy')
('monosemy.n.01.monosemy', 'polysemy.n.01.lexical_ambiguity')
('monotheism.n.01.monotheism', 'polytheism.n.01.polytheism')
('mortal_sin.n.01.mortal_sin', 'venial_sin.n.01.venial_sin')
('mortal_sin.n.01.deadly_sin', 'venial_sin.n.01.venial_sin')
('motion.n.04.motion', 'motionlessness.n.01.motionlessness')
('motion.n.04.motion', 'motionlessness.n.01.stillness')
('motion.n.04.motion', 'motionlessness.n.01.lifelessness')
('multiculturalism.n.01.multiculturalism', 'nationalism.n.02.nationalism')
('multidimensional_language.n.01.multidimensional_language', 'one-dimensional_language.n.01.one-dimensional_language')
('mushroom.n.01.mushroom', 'toadstool.n.01.toadstool')
('nadir.n.02.nadir', 'zenith.n.01.zenith')
('naivete.n.01.naivete', 'sophistication.n.04.sophistication')
('naivete.n.01.naivete', 'sophistication.n.04.worldliness')
('naivete.n.01.naivete', 'sophistication.n.04.mundaneness')
('naivete.n.01.naivete', 'sophistication.n.04.mundanity')
('naivete.n.01.naivety', 'sophistication.n.04.sophistication')
('naivete.n.01.naivety', 'sophistication.n.04.worldliness')
('naivete.n.01.naivety', 'sophistication.n.04.mundaneness')
('naivete.n.01.naivety', 'sophistication.n.04.mundanity')
('naivete.n.01.naiveness', 'sophistication.n.04.sophistication')
('naivete.n.01.naiveness', 'sophistication.n.04.worldliness')
('naivete.n.01.naiveness', 'sophistication.n.04.mundaneness')
('naivete.n.01.naiveness', 'sophistication.n.04.mundanity')
('narrowing.n.02.narrowing', 'widening.n.01.widening')
('narrowing.n.02.narrowing', 'widening.n.01.broadening')
('narrowing.n.03.narrowing', 'widening.n.03.widening')
('narrowing.n.03.narrowing', 'widening.n.03.broadening')
('narrowness.n.01.narrowness', 'wideness.n.01.wideness')
('narrowness.n.01.narrowness', 'wideness.n.01.broadness')
('nastiness.n.03.nastiness', 'niceness.n.02.niceness')
('natural_depression.n.01.natural_depression', 'natural_elevation.n.01.natural_elevation')
('natural_depression.n.01.natural_depression', 'natural_elevation.n.01.elevation')
('natural_depression.n.01.depression', 'natural_elevation.n.01.natural_elevation')
('natural_depression.n.01.depression', 'natural_elevation.n.01.elevation')
('naturalness.n.01.naturalness', 'unnaturalness.n.01.unnaturalness')
('nay.n.01.nay', 'yea.n.01.yea')
('neap_tide.n.01.neap_tide', 'springtide.n.02.springtide')
('neap_tide.n.01.neap', 'springtide.n.02.springtide')
('negative_charge.n.01.negative_charge', 'positive_charge.n.01.positive_charge')
('negativity.n.01.negativity', 'positivity.n.01.positivity')
('negativity.n.01.negativity', 'positivity.n.01.positiveness')
('negativity.n.01.negativeness', 'positivity.n.01.positivity')
('negativity.n.01.negativeness', 'positivity.n.01.positiveness')
('negativity.n.02.negativity', 'positivity.n.02.positivity')
('negativity.n.02.negativity', 'positivity.n.02.positiveness')
('negativity.n.02.negativity', 'positivity.n.02.positivism')
('negativity.n.02.negativeness', 'positivity.n.02.positivity')
('negativity.n.02.negativeness', 'positivity.n.02.positiveness')
('negativity.n.02.negativeness', 'positivity.n.02.positivism')
('negativity.n.02.negativism', 'positivity.n.02.positivity')
('negativity.n.02.negativism', 'positivity.n.02.positiveness')
('negativity.n.02.negativism', 'positivity.n.02.positivism')
('negativity.n.03.negativity', 'positivity.n.04.positivity')
('negativity.n.03.negativity', 'positivity.n.04.positiveness')
('negativity.n.03.negativeness', 'positivity.n.04.positivity')
('negativity.n.03.negativeness', 'positivity.n.04.positiveness')
('neighborliness.n.01.neighborliness', 'unneighborliness.n.01.unneighborliness')
('neighborliness.n.01.neighbourliness', 'unneighborliness.n.01.unneighborliness')
('neighborliness.n.01.good-neighborliness', 'unneighborliness.n.01.unneighborliness')
('neighborliness.n.01.good-neighbourliness', 'unneighborliness.n.01.unneighborliness')
('nephew.n.01.nephew', 'niece.n.01.niece')
('neurotic_depression.n.01.neurotic_depression', 'psychotic_depression.n.01.psychotic_depression')
('newness.n.01.newness', 'oldness.n.02.oldness')
('no.n.01.no', 'yes.n.01.yes')
('nominative.n.01.nominative', 'oblique.n.01.oblique')
('nominative.n.01.nominative', 'oblique.n.01.oblique_case')
('nominative.n.01.nominative_case', 'oblique.n.01.oblique')
('nominative.n.01.nominative_case', 'oblique.n.01.oblique_case')
('nominative.n.01.subject_case', 'oblique.n.01.oblique')
('nominative.n.01.subject_case', 'oblique.n.01.oblique_case')
('non-volatile_storage.n.01.non-volatile_storage', 'volatile_storage.n.01.volatile_storage')
('non-volatile_storage.n.01.nonvolatile_storage', 'volatile_storage.n.01.volatile_storage')
('nonpartisan.n.01.nonpartisan', 'partisan.n.01.partisan')
('nonpartisan.n.01.nonpartisan', 'partisan.n.01.zealot')
('nonpartisan.n.01.nonpartisan', 'partisan.n.01.drumbeater')
('nonpartisan.n.01.nonpartizan', 'partisan.n.01.partisan')
('nonpartisan.n.01.nonpartizan', 'partisan.n.01.zealot')
('nonpartisan.n.01.nonpartizan', 'partisan.n.01.drumbeater')
('nonpayment.n.02.nonpayment', 'payment.n.01.payment')
('nonpayment.n.02.default', 'payment.n.01.payment')
('nonpayment.n.02.nonremittal', 'payment.n.01.payment')
('nonproliferation.n.01.nonproliferation', 'proliferation.n.02.proliferation')
('nonproliferation.n.01.non-proliferation', 'proliferation.n.02.proliferation')
('nonreligious_person.n.01.nonreligious_person', 'religious_person.n.01.religious_person')
('nonresident.n.01.nonresident', 'resident.n.01.resident')
('nonresident.n.01.nonresident', 'resident.n.01.occupant')
('nonresident.n.01.nonresident', 'resident.n.01.occupier')
('nonsingular_matrix.n.01.nonsingular_matrix', 'singular_matrix.n.01.singular_matrix')
('nonsmoker.n.01.nonsmoker', 'smoker.n.01.smoker')
('nonsmoker.n.01.nonsmoker', 'smoker.n.01.tobacco_user')
('nonuniformity.n.01.nonuniformity', 'uniformity.n.02.uniformity')
('nonuniformity.n.01.nonuniformity', 'uniformity.n.02.uniformness')
('nonworker.n.01.nonworker', 'worker.n.01.worker')
('northernness.n.01.northernness', 'southernness.n.01.southernness')
('object_program.n.01.object_program', 'source_program.n.01.source_program')
('object_program.n.01.target_program', 'source_program.n.01.source_program')
('oblique_angle.n.01.oblique_angle', 'right_angle.n.01.right_angle')
('oblique_triangle.n.01.oblique_triangle', 'right_triangle.n.01.right_triangle')
('oblique_triangle.n.01.oblique_triangle', 'right_triangle.n.01.right-angled_triangle')
('obscurity.n.02.obscurity', 'prominence.n.01.prominence')
('obtrusiveness.n.01.obtrusiveness', 'unobtrusiveness.n.01.unobtrusiveness')
('obverse.n.02.obverse', 'reverse.n.04.reverse')
('obverse.n.02.obverse', 'reverse.n.04.verso')
('oldness.n.01.oldness', 'youngness.n.01.youngness')
('opacity.n.01.opacity', 'transparency.n.01.transparency')
('opacity.n.01.opacity', 'transparency.n.01.transparence')
('opening.n.05.opening', 'shutting.n.01.shutting')
('opening.n.05.opening', 'shutting.n.01.closing')
('optimism.n.01.optimism', 'pessimism.n.01.pessimism')
('optimism.n.02.optimism', 'pessimism.n.02.pessimism')
('optimist.n.01.optimist', 'pessimist.n.01.pessimist')
('originality.n.02.originality', 'unoriginality.n.02.unoriginality')
('orthodoxy.n.01.orthodoxy', 'unorthodoxy.n.03.unorthodoxy')
('orthodoxy.n.01.orthodoxy', 'unorthodoxy.n.03.heterodoxy')
('orthodoxy.n.02.orthodoxy', 'unorthodoxy.n.01.unorthodoxy')
('orthodoxy.n.02.orthodoxy', 'unorthodoxy.n.01.heterodoxy')
('orthodoxy.n.02.orthodoxy', 'unorthodoxy.n.01.heresy')
('over-the-counter_drug.n.01.over-the-counter_drug', 'prescription_drug.n.01.prescription_drug')
('over-the-counter_drug.n.01.over-the-counter_drug', 'prescription_drug.n.01.prescription')
('over-the-counter_drug.n.01.over-the-counter_drug', 'prescription_drug.n.01.prescription_medicine')
('over-the-counter_drug.n.01.over-the-counter_drug', 'prescription_drug.n.01.ethical_drug')
('over-the-counter_drug.n.01.over-the-counter_medicine', 'prescription_drug.n.01.prescription_drug')
('over-the-counter_drug.n.01.over-the-counter_medicine', 'prescription_drug.n.01.prescription')
('over-the-counter_drug.n.01.over-the-counter_medicine', 'prescription_drug.n.01.prescription_medicine')
('over-the-counter_drug.n.01.over-the-counter_medicine', 'prescription_drug.n.01.ethical_drug')
('overachievement.n.01.overachievement', 'underachievement.n.01.underachievement')
('overgarment.n.01.overgarment', 'undergarment.n.01.undergarment')
('overgarment.n.01.overgarment', 'undergarment.n.01.unmentionable')
('overgarment.n.01.outer_garment', 'undergarment.n.01.undergarment')
('overgarment.n.01.outer_garment', 'undergarment.n.01.unmentionable')
('overtime.n.02.overtime', 'regulation_time.n.01.regulation_time')
('overtime.n.02.extra_time', 'regulation_time.n.01.regulation_time')
('pain.n.02.pain', 'pleasure.n.01.pleasure')
('pain.n.02.pain', 'pleasure.n.01.pleasance')
('pain.n.02.painfulness', 'pleasure.n.01.pleasure')
('pain.n.02.painfulness', 'pleasure.n.01.pleasance')
('palatability.n.01.palatability', 'unpalatability.n.01.unpalatability')
('palatability.n.01.palatability', 'unpalatability.n.01.unpalatableness')
('palatability.n.01.palatableness', 'unpalatability.n.01.unpalatability')
('palatability.n.01.palatableness', 'unpalatability.n.01.unpalatableness')
('paper_loss.n.01.paper_loss', 'paper_profit.n.01.paper_profit')
('parallel_operation.n.01.parallel_operation', 'serial_operation.n.01.serial_operation')
('parallel_operation.n.01.parallel_operation', 'serial_operation.n.01.sequential_operation')
('parallel_operation.n.01.parallel_operation', 'serial_operation.n.01.consecutive_operation')
('parallel_operation.n.01.simultaneous_operation', 'serial_operation.n.01.serial_operation')
('parallel_operation.n.01.simultaneous_operation', 'serial_operation.n.01.sequential_operation')
('parallel_operation.n.01.simultaneous_operation', 'serial_operation.n.01.consecutive_operation')
('parallelogram.n.01.parallelogram', 'trapezium.n.01.trapezium')
('particular.n.03.particular', 'universal.n.02.universal')
('particular.n.03.particular', 'universal.n.02.universal_proposition')
('particular.n.03.particular_proposition', 'universal.n.02.universal')
('particular.n.03.particular_proposition', 'universal.n.02.universal_proposition')
('peace.n.01.peace', 'war.n.02.war')
('peace.n.01.peace', 'war.n.02.state_of_war')
('perceptiveness.n.04.perceptiveness', 'unperceptiveness.n.01.unperceptiveness')
('permissiveness.n.01.permissiveness', 'unpermissiveness.n.01.unpermissiveness')
('permissiveness.n.01.permissiveness', 'unpermissiveness.n.01.restrictiveness')
('permissiveness.n.01.tolerance', 'unpermissiveness.n.01.unpermissiveness')
('permissiveness.n.01.tolerance', 'unpermissiveness.n.01.restrictiveness')
('persuasiveness.n.01.persuasiveness', 'unpersuasiveness.n.01.unpersuasiveness')
('persuasiveness.n.01.strength', 'unpersuasiveness.n.01.unpersuasiveness')
('pleasantness.n.01.pleasantness', 'unpleasantness.n.01.unpleasantness')
('pleasantness.n.02.pleasantness', 'unpleasantness.n.02.unpleasantness')
('pleasantness.n.02.sweetness', 'unpleasantness.n.02.unpleasantness')
('pleasingness.n.02.pleasingness', 'unpleasingness.n.01.unpleasingness')
('pleasure_principle.n.01.pleasure_principle', 'reality_principle.n.01.reality_principle')
('pleasure_principle.n.01.pleasure-pain_principle', 'reality_principle.n.01.reality_principle')
('pleasure_principle.n.01.pleasure-unpleasure_principle', 'reality_principle.n.01.reality_principle')
('plural.n.01.plural', 'singular.n.01.singular')
('plural.n.01.plural', 'singular.n.01.singular_form')
('plural.n.01.plural_form', 'singular.n.01.singular')
('plural.n.01.plural_form', 'singular.n.01.singular_form')
('point.n.22.point', 'unpointedness.n.01.unpointedness')
('point.n.22.pointedness', 'unpointedness.n.01.unpointedness')
('political_correctness.n.01.political_correctness', 'political_incorrectness.n.01.political_incorrectness')
('political_correctness.n.01.political_correctitude', 'political_incorrectness.n.01.political_incorrectness')
('poor_people.n.01.poor_people', 'rich_people.n.01.rich_people')
('poor_people.n.01.poor_people', 'rich_people.n.01.rich')
('poor_people.n.01.poor', 'rich_people.n.01.rich_people')
('poor_people.n.01.poor', 'rich_people.n.01.rich')
('popularity.n.01.popularity', 'unpopularity.n.01.unpopularity')
('porosity.n.01.porosity', 'solidity.n.01.solidity')
('porosity.n.01.porosity', 'solidity.n.01.solidness')
('porosity.n.01.porousness', 'solidity.n.01.solidity')
('porosity.n.01.porousness', 'solidity.n.01.solidness')
('posteriority.n.02.posteriority', 'priority.n.02.priority')
('posteriority.n.02.posteriority', 'priority.n.02.antecedence')
('posteriority.n.02.posteriority', 'priority.n.02.antecedency')
('posteriority.n.02.posteriority', 'priority.n.02.anteriority')
('posteriority.n.02.posteriority', 'priority.n.02.precedence')
('posteriority.n.02.posteriority', 'priority.n.02.precedency')
('posteriority.n.02.subsequentness', 'priority.n.02.priority')
('posteriority.n.02.subsequentness', 'priority.n.02.antecedence')
('posteriority.n.02.subsequentness', 'priority.n.02.antecedency')
('posteriority.n.02.subsequentness', 'priority.n.02.anteriority')
('posteriority.n.02.subsequentness', 'priority.n.02.precedence')
('posteriority.n.02.subsequentness', 'priority.n.02.precedency')
('posteriority.n.02.subsequence', 'priority.n.02.priority')
('posteriority.n.02.subsequence', 'priority.n.02.antecedence')
('posteriority.n.02.subsequence', 'priority.n.02.antecedency')
('posteriority.n.02.subsequence', 'priority.n.02.anteriority')
('posteriority.n.02.subsequence', 'priority.n.02.precedence')
('posteriority.n.02.subsequence', 'priority.n.02.precedency')
('poverty.n.01.poverty', 'wealth.n.01.wealth')
('poverty.n.01.poverty', 'wealth.n.01.wealthiness')
('poverty.n.01.poorness', 'wealth.n.01.wealth')
('poverty.n.01.poorness', 'wealth.n.01.wealthiness')
('poverty.n.01.impoverishment', 'wealth.n.01.wealth')
('poverty.n.01.impoverishment', 'wealth.n.01.wealthiness')
('power.n.01.power', 'powerlessness.n.01.powerlessness')
('power.n.01.power', 'powerlessness.n.01.impotence')
('power.n.01.power', 'powerlessness.n.01.impotency')
('power.n.01.powerfulness', 'powerlessness.n.01.powerlessness')
('power.n.01.powerfulness', 'powerlessness.n.01.impotence')
('power.n.01.powerfulness', 'powerlessness.n.01.impotency')
('predictability.n.01.predictability', 'unpredictability.n.03.unpredictability')
('preparation.n.05.preparation', 'resolution.n.09.resolution')
('pretentiousness.n.02.pretentiousness', 'unpretentiousness.n.01.unpretentiousness')
('pretentiousness.n.02.pretension', 'unpretentiousness.n.01.unpretentiousness')
('pretentiousness.n.02.largeness', 'unpretentiousness.n.01.unpretentiousness')
('productiveness.n.01.productiveness', 'unproductiveness.n.01.unproductiveness')
('productiveness.n.01.productivity', 'unproductiveness.n.01.unproductiveness')
('profitableness.n.02.profitableness', 'unprofitableness.n.01.unprofitableness')
('profitableness.n.02.profitableness', 'unprofitableness.n.01.unprofitability')
('profitableness.n.02.profitability', 'unprofitableness.n.01.unprofitableness')
('profitableness.n.02.profitability', 'unprofitableness.n.01.unprofitability')
('profitableness.n.02.gainfulness', 'unprofitableness.n.01.unprofitableness')
('profitableness.n.02.gainfulness', 'unprofitableness.n.01.unprofitability')
('profitableness.n.02.lucrativeness', 'unprofitableness.n.01.unprofitableness')
('profitableness.n.02.lucrativeness', 'unprofitableness.n.01.unprofitability')
('profundity.n.02.profundity', 'superficiality.n.01.superficiality')
('profundity.n.02.profundity', 'superficiality.n.01.shallowness')
('profundity.n.02.profoundness', 'superficiality.n.01.superficiality')
('profundity.n.02.profoundness', 'superficiality.n.01.shallowness')
